msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
1,36,1663594551871,1663594551899,28,1663594551899,1663594551907,8
1,11,1663594551912,1663594551921,9,1663594551921,1663594551923,2
1,13,1663594551928,1663594551939,11,1663594551939,1663594551941,2
1,12,1663594551945,1663594551955,10,1663594551955,1663594551957,2
1,10,1663594551961,1663594551969,8,1663594551969,1663594551971,2
1,9,1663594551974,1663594551982,8,1663594551982,1663594551983,1
1,9,1663594551987,1663594551994,7,1663594551994,1663594551996,2
1,10,1663594551999,1663594552007,8,1663594552007,1663594552009,2
1,11,1663594552014,1663594552023,9,1663594552023,1663594552025,2
1,9,1663594552028,1663594552035,7,1663594552035,1663594552037,2
1,9,1663594552040,1663594552047,7,1663594552047,1663594552049,2
1,8,1663594552053,1663594552060,7,1663594552060,1663594552061,1
1,8,1663594552065,1663594552072,7,1663594552072,1663594552073,1
1,8,1663594552076,1663594552083,7,1663594552083,1663594552084,1
1,9,1663594552088,1663594552096,8,1663594552096,1663594552097,1
1,8,1663594552101,1663594552108,7,1663594552108,1663594552109,1
1,10,1663594552112,1663594552121,9,1663594552121,1663594552122,1
1,11,1663594552126,1663594552136,10,1663594552136,1663594552137,1
1,8,1663594552150,1663594552157,7,1663594552157,1663594552158,1
1,7,1663594552161,1663594552167,6,1663594552167,1663594552168,1
1,8,1663594552171,1663594552177,6,1663594552177,1663594552179,2
1,7,1663594552181,1663594552187,6,1663594552187,1663594552188,1
1,7,1663594552191,1663594552197,6,1663594552197,1663594552198,1
1,7,1663594552201,1663594552207,6,1663594552207,1663594552208,1
1,7,1663594552211,1663594552217,6,1663594552217,1663594552218,1
1,7,1663594552220,1663594552226,6,1663594552226,1663594552227,1
1,8,1663594552229,1663594552236,7,1663594552236,1663594552237,1
1,8,1663594552239,1663594552246,7,1663594552246,1663594552247,1
1,9,1663594552250,1663594552258,8,1663594552258,1663594552259,1
1,7,1663594552261,1663594552267,6,1663594552267,1663594552268,1
2,13,1663594552532,1663594552544,12,1663594552544,1663594552545,1
2,18,1663594552550,1663594552567,17,1663594552567,1663594552568,1
2,13,1663594552573,1663594552585,12,1663594552585,1663594552586,1
2,14,1663594552590,1663594552603,13,1663594552603,1663594552604,1
2,14,1663594552608,1663594552621,13,1663594552621,1663594552622,1
2,14,1663594552626,1663594552639,13,1663594552639,1663594552640,1
2,15,1663594552644,1663594552657,13,1663594552657,1663594552659,2
2,15,1663594552663,1663594552677,14,1663594552677,1663594552678,1
2,15,1663594552683,1663594552697,14,1663594552697,1663594552698,1
2,18,1663594552703,1663594552720,17,1663594552720,1663594552721,1
2,16,1663594552726,1663594552741,15,1663594552741,1663594552742,1
2,27,1663594552748,1663594552774,26,1663594552774,1663594552775,1
2,13,1663594552780,1663594552792,12,1663594552792,1663594552793,1
2,12,1663594552798,1663594552809,11,1663594552809,1663594552810,1
2,14,1663594552814,1663594552827,13,1663594552827,1663594552828,1
2,12,1663594552832,1663594552843,11,1663594552843,1663594552844,1
2,14,1663594552848,1663594552861,13,1663594552861,1663594552862,1
2,19,1663594552868,1663594552885,17,1663594552885,1663594552887,2
2,13,1663594552891,1663594552904,13,1663594552904,1663594552904,0
2,13,1663594552909,1663594552921,12,1663594552921,1663594552922,1
2,13,1663594552927,1663594552938,11,1663594552938,1663594552940,2
2,12,1663594552944,1663594552955,11,1663594552955,1663594552956,1
2,11,1663594552961,1663594552971,10,1663594552971,1663594552972,1
2,12,1663594552978,1663594552989,11,1663594552989,1663594552990,1
2,14,1663594552997,1663594553008,11,1663594553008,1663594553011,3
2,18,1663594553019,1663594553036,17,1663594553036,1663594553037,1
2,13,1663594553042,1663594553054,12,1663594553054,1663594553055,1
2,13,1663594553061,1663594553073,12,1663594553073,1663594553074,1
2,12,1663594553080,1663594553091,11,1663594553091,1663594553092,1
2,15,1663594553098,1663594553112,14,1663594553112,1663594553113,1
4,23,1663594553430,1663594553451,21,1663594553451,1663594553453,2
4,21,1663594553464,1663594553484,20,1663594553484,1663594553485,1
4,27,1663594553498,1663594553524,26,1663594553524,1663594553525,1
4,20,1663594553542,1663594553560,18,1663594553560,1663594553562,2
4,20,1663594553569,1663594553587,18,1663594553587,1663594553589,2
4,19,1663594553596,1663594553613,17,1663594553613,1663594553615,2
4,25,1663594553622,1663594553646,24,1663594553646,1663594553647,1
4,22,1663594553654,1663594553674,20,1663594553674,1663594553676,2
4,20,1663594553682,1663594553701,19,1663594553701,1663594553702,1
4,20,1663594553709,1663594553727,18,1663594553727,1663594553729,2
4,25,1663594553736,1663594553760,24,1663594553760,1663594553761,1
4,30,1663594553768,1663594553797,29,1663594553797,1663594553798,1
4,23,1663594553804,1663594553826,22,1663594553826,1663594553827,1
