msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
1,140,1663363559625,1663363559697,72,1663363559747,1663363559765,18
1,38,1663363559774,1663363559787,13,1663363559811,1663363559812,1
1,24,1663363559816,1663363559833,17,1663363559840,1663363559840,0
1,13,1663363559845,1663363559849,4,1663363559857,1663363559858,1
1,20,1663363559867,1663363559881,14,1663363559886,1663363559887,1
1,22,1663363559894,1663363559911,17,1663363559916,1663363559916,0
1,10,1663363559921,1663363559926,5,1663363559930,1663363559931,1
1,17,1663363559935,1663363559942,7,1663363559951,1663363559952,1
1,18,1663363559961,1663363559973,12,1663363559978,1663363559979,1
1,11,1663363559985,1663363559990,5,1663363559996,1663363559996,0
1,11,1663363560001,1663363560005,4,1663363560012,1663363560012,0
1,15,1663363560025,1663363560035,10,1663363560039,1663363560040,1
1,14,1663363560043,1663363560053,10,1663363560056,1663363560057,1
1,11,1663363560062,1663363560069,7,1663363560073,1663363560073,0
1,9,1663363560077,1663363560082,5,1663363560086,1663363560086,0
1,13,1663363560092,1663363560099,7,1663363560104,1663363560105,1
1,9,1663363560110,1663363560114,4,1663363560118,1663363560119,1
1,12,1663363560125,1663363560130,5,1663363560136,1663363560137,1
1,7,1663363560142,1663363560145,3,1663363560149,1663363560149,0
1,11,1663363560155,1663363560161,6,1663363560165,1663363560166,1
1,24,1663363560172,1663363560176,4,1663363560195,1663363560196,1
1,11,1663363560200,1663363560208,8,1663363560211,1663363560211,0
1,13,1663363560215,1663363560223,8,1663363560228,1663363560228,0
1,26,1663363560237,1663363560256,19,1663363560262,1663363560263,1
1,20,1663363560270,1663363560285,15,1663363560290,1663363560290,0
1,11,1663363560294,1663363560300,6,1663363560305,1663363560305,0
1,12,1663363560310,1663363560317,7,1663363560321,1663363560322,1
1,15,1663363560327,1663363560332,5,1663363560341,1663363560342,1
1,26,1663363560349,1663363560364,15,1663363560374,1663363560375,1
1,19,1663363560383,1663363560395,12,1663363560401,1663363560402,1
2,16,1663363560531,1663363560537,6,1663363560546,1663363560547,1
2,25,1663363560554,1663363560567,13,1663363560578,1663363560579,1
2,19,1663363560590,1663363560598,8,1663363560608,1663363560609,1
2,18,1663363560617,1663363560628,11,1663363560634,1663363560635,1
2,20,1663363560648,1663363560660,12,1663363560668,1663363560668,0
2,43,1663363560675,1663363560691,16,1663363560717,1663363560718,1
2,17,1663363560729,1663363560737,8,1663363560745,1663363560746,1
2,24,1663363560754,1663363560769,15,1663363560778,1663363560778,0
2,18,1663363560790,1663363560799,9,1663363560807,1663363560808,1
2,20,1663363560817,1663363560830,13,1663363560836,1663363560837,1
2,23,1663363560848,1663363560861,13,1663363560870,1663363560871,1
2,20,1663363560880,1663363560892,12,1663363560899,1663363560900,1
2,22,1663363560909,1663363560924,15,1663363560930,1663363560931,1
2,21,1663363560943,1663363560955,12,1663363560963,1663363560964,1
2,32,1663363560976,1663363560985,9,1663363561007,1663363561008,1
2,21,1663363561018,1663363561032,14,1663363561039,1663363561039,0
2,26,1663363561046,1663363561061,15,1663363561072,1663363561072,0
2,20,1663363561080,1663363561094,14,1663363561099,1663363561100,1
2,26,1663363561113,1663363561125,12,1663363561139,1663363561139,0
2,22,1663363561146,1663363561157,11,1663363561167,1663363561168,1
2,22,1663363561179,1663363561189,10,1663363561200,1663363561201,1
2,20,1663363561212,1663363561220,8,1663363561231,1663363561232,1
2,16,1663363561244,1663363561251,7,1663363561260,1663363561260,0
2,23,1663363561268,1663363561282,14,1663363561291,1663363561291,0
2,37,1663363561302,1663363561313,11,1663363561339,1663363561339,0
2,38,1663363561349,1663363561375,26,1663363561387,1663363561387,0
2,19,1663363561399,1663363561408,9,1663363561417,1663363561418,1
2,20,1663363561424,1663363561438,14,1663363561444,1663363561444,0
2,32,1663363561453,1663363561469,16,1663363561483,1663363561485,2
2,20,1663363561493,1663363561501,8,1663363561512,1663363561513,1
4,19,1663363561650,1663363561656,6,1663363561669,1663363561669,0
4,16,1663363561683,1663363561688,5,1663363561698,1663363561699,1
4,44,1663363561721,1663363561736,15,1663363561765,1663363561765,0
4,30,1663363561787,1663363561798,11,1663363561815,1663363561817,2
4,37,1663363561839,1663363561859,20,1663363561876,1663363561876,0
4,26,1663363561896,1663363561905,9,1663363561921,1663363561922,1
4,37,1663363561941,1663363561952,11,1663363561978,1663363561978,0
4,39,1663363561997,1663363562013,16,1663363562035,1663363562036,1
4,24,1663363562054,1663363562061,7,1663363562078,1663363562078,0
4,28,1663363562096,1663363562108,12,1663363562123,1663363562124,1
4,25,1663363562144,1663363562156,12,1663363562168,1663363562169,1
4,27,1663363562194,1663363562203,9,1663363562220,1663363562221,1
4,35,1663363562238,1663363562248,10,1663363562272,1663363562273,1
4,36,1663363562292,1663363562310,18,1663363562327,1663363562328,1
4,27,1663363562344,1663363562357,13,1663363562370,1663363562371,1
4,29,1663363562391,1663363562402,11,1663363562420,1663363562420,0
4,24,1663363562439,1663363562450,11,1663363562462,1663363562463,1
4,33,1663363562476,1663363562482,6,1663363562508,1663363562509,1
4,35,1663363562527,1663363562544,17,1663363562562,1663363562562,0
4,19,1663363562586,1663363562591,5,1663363562604,1663363562605,1
4,15,1663363562619,1663363562623,4,1663363562634,1663363562634,0
4,23,1663363562648,1663363562654,6,1663363562670,1663363562671,1
4,34,1663363562686,1663363562701,15,1663363562720,1663363562720,0
4,40,1663363562734,1663363562749,15,1663363562773,1663363562774,1
4,41,1663363562796,1663363562811,15,1663363562837,1663363562837,0
4,38,1663363562854,1663363562873,19,1663363562892,1663363562892,0
4,27,1663363562905,1663363562919,14,1663363562931,1663363562932,1
4,27,1663363562947,1663363562963,16,1663363562974,1663363562974,0
4,29,1663363562992,1663363563010,18,1663363563021,1663363563021,0
4,36,1663363563051,1663363563072,21,1663363563086,1663363563087,1
8,78,1663363563274,1663363563292,18,1663363563352,1663363563352,0
8,46,1663363563376,1663363563387,11,1663363563421,1663363563422,1
8,41,1663363563447,1663363563464,17,1663363563488,1663363563488,0
8,47,1663363563514,1663363563526,12,1663363563561,1663363563561,0
8,51,1663363563603,1663363563623,20,1663363563653,1663363563654,1
8,60,1663363563687,1663363563702,15,1663363563746,1663363563747,1
