i,mean,std,ci
0,0.0261476198832194,0.0050580122250226,0.0018099864292974257
1,0.023601365089416505,0.003960128160714769,0.0014171136625001496
2,0.022101497650146483,0.0038305623229790507,0.0013707491229203437
3,0.02260387738545736,0.0037809844747929405,0.0013530079177949987
4,0.02154545783996582,0.004284446198920321,0.0015331693819830715
5,0.02135456403096517,0.004140321236073114,0.0014815949263924121
6,0.02148890495300293,0.0037302591384378854,0.001334856089301981
7,0.021024370193481447,0.004136604720474872,0.0014802649883658072
8,0.020304346084594728,0.0040382767921682714,0.0014450787911131737
9,0.02095941702524821,0.004431760606879743,0.0015858851658492024
10,0.02066083749135335,0.0038464584501044395,0.0013764374789573266
11,0.01918927828470866,0.004152398843678552,0.0014859168427681926
12,0.021466565132141114,0.0029883298682735807,0.0010693601097049893
13,0.018178089459737142,0.004392444307185734,0.001571816008692108
14,0.020731671651204427,0.005211772555895694,0.0018650088570542783
15,0.020432639122009277,0.003826221854118677,0.0013691959060864263
16,0.021163058280944825,0.0044880635031694085,0.0016060328985316751
17,0.019509029388427735,0.003923425321976991,0.001403979720335395
18,0.017996549606323242,0.003660678288985328,0.001309956902102497
19,0.01771518389383952,0.003256704846525587,0.0011653968622845963
20,0.01974625587463379,0.004387588764398219,0.001570078475020521
21,0.01735050678253174,0.0031969305332586115,0.001144006898990604
22,0.01582191785176595,0.0018706555827883147,0.0006694055032105401
23,0.01493541399637858,0.0017637710960224714,0.0006311573808371836
24,0.018664304415384927,0.003563854894752367,0.001275309095453633
25,0.019872299830118813,0.0040526814282800605,0.0014502334239454794
26,0.019929925600687664,0.003871453168128938,0.0013853817239325857
27,0.020333202679951985,0.0037783326665990734,0.0013520589804199062
28,0.018580985069274903,0.004237217611517864,0.0015162688490325106
29,0.020980159441630047,0.003351406344034754,0.001199285357942586
