i,mean,std,ci
0,0.02572510242462158,0.005273677677286886,0.0018871613202428319
1,0.02323766549428304,0.006545529440869973,0.002342287628711392
2,0.02042512098948161,0.003461744426687121,0.0012387693337320255
3,0.020597076416015624,0.002888559164786917,0.0010336576219848236
4,0.020946033795674644,0.0034952593706235233,0.0012507625023929182
5,0.018772411346435546,0.0030136853952782592,0.0010784334685156134
6,0.021242523193359376,0.0032318476440115367,0.0011565018266027622
7,0.019891190528869628,0.0029570295460412586,0.0010581594332430247
8,0.01982549826304118,0.003572769093394084,0.0012784990004700246
9,0.020408233006795246,0.0030008454907170332,0.0010738387676775406
10,0.019173971811930337,0.003782336792156496,0.0013534918383486167
11,0.018606940905253094,0.0034944686777765607,0.0012504795565914696
12,0.019896546999613445,0.0029722636342877826,0.00106361088170978
13,0.019165571530659994,0.0029235078387110816,0.0010461638443327531
14,0.018541789054870604,0.003462607970476274,0.001239078348908331
15,0.019607957204182944,0.0026553035018576057,0.0009501881549933826
16,0.019238789876302082,0.00385671275294472,0.0013801069341023724
17,0.019162869453430174,0.0055906491559553515,0.002000588107158456
18,0.017614531517028808,0.003690545615998833,0.0013206447878111147
19,0.018430709838867188,0.0030867080840607645,0.0011045643021014404
20,0.019135944048563638,0.0030600464594212145,0.001095023562254693
21,0.017997137705485024,0.0033265766758449333,0.0011904001752921362
22,0.019274655977884927,0.003306566497770915,0.0011832396250303907
23,0.017889825503031413,0.0034436611544840087,0.0012322983178805803
24,0.017633938789367677,0.0036198551250756195,0.001295348520511006
25,0.01844512621561686,0.0030758904409178816,0.001100693258218087
26,0.01833651860555013,0.0026349612302090535,0.0009429087665722136
27,0.018722057342529297,0.0032612862638833613,0.0011670363014309663
28,0.01858205000559489,0.0033680515799741776,0.0012052417791259442
29,0.018687915802001954,0.002573170050206689,0.0009207970767860042
