i,mean,std,ci
0,0.030164639155069988,0.0055200891386228395,0.001975338529233154
1,0.028603760401407878,0.004304652205567035,0.0015404000085995745
2,0.027655839920043945,0.004145872041504344,0.00148358125660579
3,0.027460710207621256,0.0040715005793778595,0.001456967770677463
4,0.023539296785990396,0.003682868659573866,0.0013178976242359149
5,0.024461396535237632,0.004340828046170861,0.0015533453669040534
6,0.025166082382202148,0.003591645810801477,0.001285253947041335
7,0.025037280718485513,0.004517993525272395,0.001616743219389932
8,0.02441128094991048,0.004415015284410999,0.0015798929291613005
9,0.023292732238769532,0.004201955380715442,0.00150365042179673
10,0.023499075571695963,0.004157420669373568,0.0014877138800140316
11,0.023506728808085124,0.00407221346387709,0.0014572228731192644
12,0.024049003918965656,0.004038404301597823,0.0014451244197765355
13,0.023679645856221516,0.004296411394222276,0.001537451072132671
14,0.02417881488800049,0.0037596830204922427,0.0013453852902699358
15,0.02363005479176839,0.004829256607134472,0.0017281272827428305
16,0.023342100779215495,0.004849227032103785,0.0017352736075387533
17,0.022675863901774087,0.003877536407861213,0.0013875585833136505
18,0.022693689664204916,0.004099851243427616,0.0014671129255147272
19,0.022284205754597983,0.005184736652071945,0.0018553341831215639
20,0.0225798765818278,0.004624016733197538,0.0016546831370883774
21,0.021852954228719076,0.004089280962697754,0.0014633303991340542
22,0.022411163647969565,0.004174550094761165,0.0014938435661661991
23,0.024071455001831055,0.00407631477134792,0.0014586905071490624
24,0.02111223538716634,0.004228696871346317,0.0015132197413214273
25,0.020704046885172526,0.0043884201691679935,0.0015703759893964454
26,0.022049951553344726,0.002951508039529694,0.0010561835875133984
27,0.02070452372233073,0.004034256859870223,0.001443640276814974
28,0.02227141857147217,0.0046139643223779125,0.001651085928075075
29,0.022489746411641438,0.004322254496968462,0.0015466989076816106
