i,mean,std,ci
0,0.03265280723571777,0.00469807188476364,0.0016811834327363597
1,0.028865583737691245,0.004894616049843649,0.001751515858939782
2,0.027702824274698893,0.004212309709293054,0.001507355670692185
3,0.027014986673990885,0.0047602342353510905,0.00170342794421063
4,0.02779573599497477,0.004860670792314513,0.001739368704537349
5,0.026395702362060548,0.004005832594198117,0.0014334687839754078
6,0.026614705721537273,0.0038958189800447746,0.0013941009177471638
7,0.025187190373738608,0.004007040098851922,0.0014339008839663666
8,0.02727513313293457,0.0032225398406894898,0.0011531710719604286
9,0.025595450401306154,0.004251654714780182,0.001521435100085422
10,0.024776983261108398,0.003820950268988515,0.0013673094935745553
11,0.022780466079711913,0.0035914550834854307,0.0012851856961478257
12,0.023540600140889486,0.004015854945140435,0.0014370552361997638
13,0.024082557360331217,0.0037705157030184823,0.001349261715927506
14,0.023235217730204264,0.004051385244837328,0.0014497695906574499
15,0.023447696367899576,0.004052857072219145,0.0014502962773218627
16,0.023598686854044596,0.004523379627341335,0.001618670611262052
17,0.025032774607340495,0.009869498427281553,0.0035317546543241264
18,0.0217802365620931,0.004130484744440534,0.0014780749830678806
19,0.02238334814707438,0.0043248301978292695,0.001547620610397339
20,0.020801536242167153,0.004360752888672919,0.0015604753802235549
21,0.02102507750193278,0.0039032393998181857,0.0013967562808605864
22,0.022079610824584962,0.004611414760319041,0.0016501735790094916
23,0.022220023473103843,0.0045778260327361655,0.0016381540072098006
24,0.02155633767445882,0.004216157374265888,0.0015087325399197563
25,0.023540258407592773,0.004161114578755659,0.0014890357285100798
26,0.02263499895731608,0.004305423580124246,0.0015406760414398174
27,0.02112290064493815,0.004245131608600103,0.0015191008365175323
28,0.022692155838012696,0.0040323932739090036,0.001442973401143352
29,0.023317813873291016,0.004073110263388892,0.0014575437887030843
